Number;Chemical name;Chemical Formula;Monoisotopic mass;[M+H]+;[M-H]-;Smile Code;INCHi;Source
1;Atenolol;C14H22N2O3;266.163043;267.170868;268.178693;CC(C)NCC(COC1=CC=C(C=C1)CC(=O)N)O;InChI=1S/C14H22N2O3/c1-10(2)16-8-12(17)9-19-13-5-3-11(4-6-13)7-14(15)18/h3-6,10,12,16-17H,7-9H2,1-2H3,(H2,15,18);Parent substance
2;Atenolol-M1;C14H20N2O3;264.147393;265.155218;263.139568;CC(C)NCC(=O)COC1=CC=C(CC(N)=O)C=C1;InChI=1S/C14H20N2O3/c1-10(2)16-8-12(17)9-19-13-5-3-11(4-6-13)7-14(15)18/h3-6,10,16H,7-9H2,1-2H3,(H2,15,18);BioTransformer 3.0
3;Atenolol-M2;C14H22N2O4;282.157958;283.165783;281.150133;CC(C)NCC(O)COC1=CC=C(C(C(N)=O)O)C=C1;InChI=1S/C14H22N2O4/c1-9(2)16-7-11(17)8-20-12-5-3-10(4-6-12)13(18)14(15)19/h3-6,9,11,13,16-18H,7-8H2,1-2H3,(H2,15,19);BioTransformer 3.0
4;Atenolol-M3;C6H13NO2;131.094629;132.102454;130.086804;CC(C)NCC(C=O)O;InChI=1S/C6H13NO2/c1-5(2)7-3-6(9)4-8/h4-7,9H,3H2,1-2H3;BioTransformer 3.0
5;Atenolol-M4;C8H9NO2;151.063329;152.071154;150.055504;OC1=CC=C(CC(N)=O)C=C1;InChI=1S/C8H9NO2/c9-8(11)5-6-1-3-7(10)4-2-6/h1-4,10H,5H2,(H2,9,11);BioTransformer 3.0
6;Atenolol-M6;C14H22N2O4;282.157958;283.165783;281.150133;C(C(C)NCC(O)COC1=CC=C(CC(N)=O)C=C1)O;InChI=1S/C14H22N2O4/c1-10(8-17)16-7-12(18)9-20-13-4-2-11(3-5-13)6-14(15)19/h2-5,10,12,16-18H,6-9H2,1H3,(H2,15,19);BioTransformer 3.0
7;Atenolol-M7;C14H20N2O3;264.147393;265.155218;263.139568;C=C(C)NCC(O)COC1=CC=C(CC(N)=O)C=C1;InChI=1S/C14H20N2O3/c1-10(2)16-8-12(17)9-19-13-5-3-11(4-6-13)7-14(15)18/h3-6,12,16-17H,1,7-9H2,2H3,(H2,15,18);BioTransformer 3.0
8;Atenolol-M8;C3H6O;58.041865;59.04969;57.03404;C(C)(C)=O;InChI=1S/C3H6O/c1-3(2)4/h1-2H3;BioTransformer 3.0
9;Atenolol-M9;C11H16N2O3;224.116093;225.123918;223.108268;NCC(O)COC1=CC=C(CC(N)=O)C=C1;InChI=1S/C11H16N2O3/c12-6-9(14)7-16-10-3-1-8(2-4-10)5-11(13)15/h1-4,9,14H,5-7,12H2,(H2,13,15);BioTransformer 3.0
10;Atenolol-M10;C3H9N;59.073499;60.081324;58.065674;NC(C)C;InChI=1S/C3H9N/c1-3(2)4/h3H,4H2,1-2H3;BioTransformer 3.0
11;Atenolol-M11;C11H13NO4;223.084459;224.092284;222.076634;C(C(O)COC1=CC=C(CC(N)=O)C=C1)=O;InChI=1S/C11H13NO4/c12-11(15)5-8-1-3-10(4-2-8)16-7-9(14)6-13/h1-4,6,9,14H,5,7H2,(H2,12,15);BioTransformer 3.0
12;Atenolol-M12;C3H6O2;74.03678;75.044605;73.028955;C(C)(CO)=O;InChI=1S/C3H6O2/c1-3(5)2-4/h4H,2H2,1H3;BioTransformer 3.0
13;Atenolol-M13;C3H8O;60.057515;61.06534;59.04969;C(C)(C)O;InChI=1S/C3H8O/c1-3(2)4/h3-4H,1-2H3;BioTransformer 3.0
14;Atenolol-M14;C3H9NO;75.068414;76.076239;74.060589;C(C(C)N)O;InChI=1S/C3H9NO/c1-3(4)2-5/h3,5H,2,4H2,1H3;BioTransformer 3.0
15;Atenolol-M15;C3H7N;57.057849;58.065674;56.050024;C=C(C)N;InChI=1S/C3H7N/c1-3(2)4/h1,4H2,2H3;BioTransformer 3.0
16;Atenolol-M16;C3H8O2;76.05243;77.060255;75.044605;C(C)(CO)O;InChI=1S/C3H8O2/c1-3(5)2-4/h3-5H,2H2,1H3;BioTransformer 3.0
17;Atenolol-M17;C3H6O;58.041865;59.04969;57.03404;C(=C)(C)O;InChI=1S/C3H6O/c1-3(2)4/h4H,1H2,2H3;BioTransformer 3.0
18;Atenolol-M18;C3H7NO;73.052764;74.060589;72.044939;C(C(C)N)=O;InChI=1S/C3H7NO/c1-3(4)2-5/h2-3H,4H2,1H3;BioTransformer 3.0
19;Atenolol-M19;C3H9NO2;91.063329;92.071154;90.055504;C(C(CO)N)O;InChI=1S/C3H9NO2/c4-3(1-5)2-6/h3,5-6H,1-2,4H2;BioTransformer 3.0
20;Atenolol-M20;C3H7NO;73.052764;74.060589;72.044939;C(C(=C)N)O;InChI=1S/C3H7NO/c1-3(4)2-5/h5H,1-2,4H2;BioTransformer 3.0
21;Atenolol-M21;C3H9NO2;91.063329;92.071154;90.055504;C(O)C(C)(N)O;InChI=1S/C3H9NO2/c1-3(4,6)2-5/h5-6H,2,4H2,1H3;BioTransformer 3.0
22;Atenolol-M22;C3H7NO;73.052764;74.060589;72.044939;C1C(C)(N)O1;InChI=1S/C3H7NO/c1-3(4)2-5-3/h2,4H2,1H3;BioTransformer 3.0
23;Atenolol-M23;C20H30N2O9;442.195133;443.202958;441.187308;CC(C)NCC(OC1OC(C(O)=O)C(C(C1O)O)O)COC2=CC=C(CC(N)=O)C=C2;InChI=1S/C20H30N2O9/c1-10(2)22-8-13(9-29-12-5-3-11(4-6-12)7-14(21)23)30-20-17(26)15(24)16(25)18(31-20)19(27)28/h3-6,10,13,15-18,20,22,24-26H,7-9H2,1-2H3,(H2,21,23)(H,27,28);BioTransformer 3.0
24;Atenolol-M24;C20H30N2O9;442.195133;443.202958;441.187308;CC(C)NCC(O)COC1=CC=C(CC(NC2C(C(O)C(C(O2)C(O)=O)O)O)=O)C=C1;InChI=1S/C20H30N2O9/c1-10(2)21-8-12(23)9-30-13-5-3-11(4-6-13)7-14(24)22-19-17(27)15(25)16(26)18(31-19)20(28)29/h3-6,10,12,15-19,21,23,25-27H,7-9H2,1-2H3,(H,22,24)(H,28,29);BioTransformer 3.0
25;Atenolol-M25;C14H22N2O6S;346.11986;347.127685;345.112035;CC(C)NCC(OS(O)(=O)=O)COC1=CC=C(CC(N)=O)C=C1;InChI=1S/C14H22N2O6S/c1-10(2)16-8-13(22-23(18,19)20)9-21-12-5-3-11(4-6-12)7-14(15)17/h3-6,10,13,16H,7-9H2,1-2H3,(H2,15,17)(H,18,19,20);BioTransformer 3.0
26;Atenolol-M27;C20H28N2O9;440.179483;441.187308;439.171658;CC(C)NCC(=O)COC1=CC=C(CC(NC2C(C(O)C(C(O2)C(O)=O)O)O)=O)C=C1;InChI=1S/C20H28N2O9/c1-10(2)21-8-12(23)9-30-13-5-3-11(4-6-13)7-14(24)22-19-17(27)15(25)16(26)18(31-19)20(28)29/h3-6,10,15-19,21,25-27H,7-9H2,1-2H3,(H,22,24)(H,28,29);BioTransformer 3.0
27;Atenolol-M28;C20H30N2O10;458.190048;459.197873;457.182223;CC(C)NCC(O)COC1=CC=C(C(C(N)=O)OC2OC(C(O)=O)C(C(C2O)O)O)C=C1;InChI=1S/C20H30N2O10/c1-9(2)22-7-11(23)8-30-12-5-3-10(4-6-12)16(18(21)27)31-20-15(26)13(24)14(25)17(32-20)19(28)29/h3-6,9,11,13-17,20,22-26H,7-8H2,1-2H3,(H2,21,27)(H,28,29);BioTransformer 3.0
28;Atenolol-M29;C20H30N2O10;458.190048;459.197873;457.182223;CC(C)NCC(OC1OC(C(O)=O)C(C(C1O)O)O)COC2=CC=C(C(C(N)=O)O)C=C2;InChI=1S/C20H30N2O10/c1-9(2)22-7-12(8-30-11-5-3-10(4-6-11)13(23)18(21)27)31-20-16(26)14(24)15(25)17(32-20)19(28)29/h3-6,9,12-17,20,22-26H,7-8H2,1-2H3,(H2,21,27)(H,28,29);BioTransformer 3.0
29;Atenolol-M30;C20H30N2O10;458.190048;459.197873;457.182223;CC(C)NCC(O)COC1=CC=C(C(C(NC2C(C(O)C(C(O2)C(O)=O)O)O)=O)O)C=C1;InChI=1S/C20H30N2O10/c1-9(2)21-7-11(23)8-31-12-5-3-10(4-6-12)13(24)18(28)22-19-16(27)14(25)15(26)17(32-19)20(29)30/h3-6,9,11,13-17,19,21,23-27H,7-8H2,1-2H3,(H,22,28)(H,29,30);BioTransformer 3.0
30;Atenolol-M31;C14H22N2O7S;362.114775;363.1226;361.10695;CC(C)NCC(O)COC1=CC=C(C(C(N)=O)OS(O)(=O)=O)C=C1;InChI=1S/C14H22N2O7S/c1-9(2)16-7-11(17)8-22-12-5-3-10(4-6-12)13(14(15)18)23-24(19,20)21/h3-6,9,11,13,16-17H,7-8H2,1-2H3,(H2,15,18)(H,19,20,21);BioTransformer 3.0
31;Atenolol-M32;C14H22N2O7S;362.114775;363.1226;361.10695;CC(C)NCC(OS(O)(=O)=O)COC1=CC=C(C(C(N)=O)O)C=C1;InChI=1S/C14H22N2O7S/c1-9(2)16-7-12(23-24(19,20)21)8-22-11-5-3-10(4-6-11)13(17)14(15)18/h3-6,9,12-13,16-17H,7-8H2,1-2H3,(H2,15,18)(H,19,20,21);BioTransformer 3.0
32;Atenolol-M33;C6H15NO2;133.110279;134.118104;132.102454;CC(C)NCC(CO)O;InChI=1S/C6H15NO2/c1-5(2)7-3-6(9)4-8/h5-9H,3-4H2,1-2H3;BioTransformer 3.0
33;Atenolol-M34;C6H13NO3;147.089544;148.097369;146.081719;CC(C)NCC(C(=O)O)O;InChI=1S/C6H13NO3/c1-4(2)7-3-5(8)6(9)10/h4-5,7-8H,3H2,1-2H3,(H,9,10);BioTransformer 3.0
34;Atenolol-M35;C12H21NO8;307.126719;308.134544;306.118894;CC(C)NCC(C=O)OC1OC(C(O)=O)C(C(C1O)O)O;InChI=1S/C12H21NO8/c1-5(2)13-3-6(4-14)20-12-9(17)7(15)8(16)10(21-12)11(18)19/h4-10,12-13,15-17H,3H2,1-2H3,(H,18,19);BioTransformer 3.0
35;Atenolol-M36;C6H13NO5S;211.051446;212.059271;210.043621;CC(C)NCC(C=O)OS(O)(=O)=O;InChI=1S/C6H13NO5S/c1-5(2)7-3-6(4-8)12-13(9,10)11/h4-7H,3H2,1-2H3,(H,9,10,11);BioTransformer 3.0
36;Atenolol-M37;C14H17NO8;327.095419;328.103244;326.087594;O(C1=CC=C(CC(N)=O)C=C1)C2OC(C(O)C(O)C2O)C(O)=O;InChI=1S/C14H17NO8/c15-8(16)5-6-1-3-7(4-2-6)22-14-11(19)9(17)10(18)12(23-14)13(20)21/h1-4,9-12,14,17-19H,5H2,(H2,15,16)(H,20,21);BioTransformer 3.0
37;Atenolol-M38;C14H17NO8;327.095419;328.103244;326.087594;OC1=CC=C(CC(NC2C(C(O)C(C(O2)C(O)=O)O)O)=O)C=C1;InChI=1S/C14H17NO8/c16-7-3-1-6(2-4-7)5-8(17)15-13-11(20)9(18)10(19)12(23-13)14(21)22/h1-4,9-13,16,18-20H,5H2,(H,15,17)(H,21,22);BioTransformer 3.0
38;Atenolol-M39;C8H9NO;135.068414;136.076239;134.060589;NC(=O)CC1=CC=CC=C1;InChI=1S/C8H9NO/c9-8(10)6-7-4-2-1-3-5-7/h1-5H,6H2,(H2,9,10);BioTransformer 3.0
