Number;Chemical name;Chemical Formula;Monoisotopic mass;[M+H]+;[M-H]-;Smile Code;INCHi;Source
2906;Atenolol-R001;;218.178298;219.186123;217.170473;;;
2907;Atenolol-R002;;222.173213;223.181038;221.165388;;;
2908;Atenolol-R003;;224.116093;225.123918;223.108268;;;
2909;Atenolol-R004;;224.152478;225.160303;223.144653;;;
2910;Atenolol-R005;;234.173213;235.181038;233.165388;;;
2911;Atenolol-R006;;238.131743;239.139568;237.123918;;;
2912;Atenolol-R007;;250.168128;251.175953;249.160303;;;
2913;Atenolol-R008;;252.147393;253.155218;251.139568;;;
2914;Atenolol-R009;;252.183778;253.191603;251.175953;;;
2915;Atenolol-R010;;268.178693;269.186518;267.170868;;;
2916;Atenolol-R011;;268.178693;269.186518;267.170868;;;
2917;Atenolol-R012;;280.142308;281.150133;279.134483;;;
2918;Atenolol-R013;;280.178693;281.186518;279.170868;;;
2919;Atenolol-R014;;282.157958;283.165783;281.150133;;;
2920;Atenolol-R015;;282.157958;283.165783;281.150133;;;
2921;Atenolol-R016;;282.157958;283.165783;281.150133;;;
2922;Atenolol-R017;;282.157958;283.165783;281.150133;;;
2923;Atenolol-R018;;294.194343;295.202168;293.186518;;;
2924;Atenolol-R019;;296.137223;297.145048;295.129398;;;
2925;Atenolol-R020;;298.152873;299.160698;297.145048;;;
2926;Atenolol-R021;;298.152873;299.160698;297.145048;;;
2927;Atenolol-R022;;300.168523;301.176348;299.160698;;;
2928;Atenolol-R023;;308.173608;309.181433;307.165783;;;
2929;Atenolol-R024;;308.209993;309.217818;307.202168;;;
2930;Atenolol-R025;;310.152873;311.160698;309.145048;;;
2931;Atenolol-R026;;314.147788;315.155613;313.139963;;;
2932;Atenolol-R027;;323.184507;324.192332;322.176682;;;
2933;Atenolol-R028;;337.200157;338.207982;336.192332;;;
2934;Atenolol-R029;;339.179422;340.187247;338.171597;;;
2935;Atenolol-R030;;346.11986;347.127685;345.112035;;;
2936;Atenolol-R031;;353.195072;354.202897;352.187247;;;
2937;Atenolol-R032;;362.114775;363.1226;361.10695;;;
2938;Atenolol-R033;;363.215807;364.223632;362.207982;;;
2939;Atenolol-R034;;365.231457;366.239282;364.223632;;;
